Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Current_Age,Price_Per_KM
293,Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.0,1199.0,88.0,5.0,8.0,4.85,9,0.00012866287111196886
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,Diesel,Manual,First,13.0,2393.0,147.0,7.0,25.0,20.25,8,0.0005208333333333333
303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,Petrol,Automatic,First,18.0,1497.0,117.0,5.0,16.0,12.69,7,0.0010666666666666667
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,Diesel,Automatic,First,17.0,2143.0,201.0,5.0,79.0,57.0,7,0.0027241379310344828
314,Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.0,1198.0,86.0,5.0,6.0,3.13,12,6.526634106014293e-05
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,Diesel,Automatic,First,14.0,2967.0,245.0,7.0,1.0,62.67,7,1.0263779123473262e-05
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,9.0,7.15,8,0.0002
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.0,1995.0,190.0,5.0,58.0,25.99,9,0.0018882052283751669
351,Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.0,1984.0,227.0,5.0,28.0,2.05,19,0.00028
352,Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.0,998.0,67.0,5.0,4.0,3.75,7,0.00013333333333333334
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,Diesel,Automatic,First,19.0,1999.0,177.0,5.0,72.0,52.0,7,0.0034285714285714284
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,Petrol,Automatic,First,14.0,1798.0,177.0,5.0,36.0,27.3,5,0.002618753182512548
365,Mini Clubman Cooper S,Pune,2017,8350,Petrol,Manual,First,13.0,1998.0,192.0,5.0,44.0,35.0,7,0.005269461077844311
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,12.0,9.49,7,0.0003076923076923077
380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,Petrol,Automatic,First,16.0,1497.0,117.0,7.0,14.0,9.48,7,0.00039242067496356094
389,Jaguar XE Portfolio,Mumbai,2017,9000,Petrol,Automatic,First,13.0,1999.0,246.0,5.0,53.0,34.5,7,0.005888888888888889
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,Diesel,Automatic,First,13.0,2477.0,175.0,7.0,33.0,28.0,6,0.00275
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.0,1995.0,190.0,5.0,60.0,25.5,9,0.0014634146341463415
414,Honda BR-V i-VTEC S MT,Pune,2017,9000,Petrol,Manual,First,15.0,1497.0,117.0,7.0,12.0,8.5,7,0.0013333333333333333
417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,Petrol,Manual,First,17.0,1197.0,81.0,5.0,9.0,6.9,7,0.00022360248447204968
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,Petrol,Automatic,First,11.0,2996.0,367.0,5.0,95.0,70.99,6,0.004241639505290887
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,First,15.0,1798.0,187.0,5.0,60.0,24.5,8,0.001276595744680851
427,Mini Cooper Convertible S,Mumbai,2014,11900,Petrol,Automatic,First,16.0,1998.0,189.0,4.0,44.0,28.5,10,0.0036974789915966387
442,Mahindra Bolero ZLX,Coimbatore,2016,82756,Diesel,Manual,First,15.0,2523.0,62.0,7.0,11.0,7.7,8,0.00013292087582773455
446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Petrol,Manual,Second,16.0,1598.0,103.0,5.0,11.0,7.1,7,0.0007333333333333333
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,Diesel,Manual,First,25.0,1248.0,88.0,5.0,11.0,8.92,6,0.0008511955428306121
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,First,15.0,1968.0,181.0,5.0,43.0,20.37,8,0.0004962950993744373
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.0,1995.0,190.0,5.0,62.0,36.5,8,0.003223290876007278
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.0,1950.0,191.0,5.0,86.0,51.43,6,0.0032569589092974814
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,Diesel,Automatic,First,11.0,2987.0,258.0,7.0,1.0,56.0,7,7.751937984496124e-06
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.0,998.0,67.0,5.0,4.0,3.3,12,0.00013333333333333334
519,Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.0,1591.0,121.0,5.0,14.0,8.0,8,0.0002016303252009102
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950.0,181.0,5.0,49.0,38.99,5,0.0037149355572403337
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.0,1995.0,190.0,5.0,48.0,29.4,7,0.001516827302891452
555,Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.0,1248.0,88.0,7.0,12.0,6.75,11,0.00011428571428571428
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.0,1498.0,108.0,5.0,15.0,10.5,7,0.0004838709677419355
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,19.0,17.0,8,0.00018962075848303394
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.0,1956.0,170.0,5.0,22.0,19.0,6,0.0007586206896551724
573,Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.0,2523.0,62.0,7.0,11.0,6.0,12,0.00010476190476190476
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.0,1498.0,88.0,5.0,10.0,8.12,6,0.00029799153704034806
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,28.0,24.82,5,0.0006884004523774401
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.0,2143.0,170.0,5.0,59.0,48.5,6,0.005898230530840748
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.0,1498.0,108.0,5.0,15.0,9.45,8,0.0006
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.0,2393.0,147.0,8.0,19.0,17.5,7,0.0003653846153846154
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.0,1248.0,88.0,5.0,10.0,8.9,8,0.00046386492253455794
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.0,1496.0,113.0,5.0,42.0,29.5,8,0.0038181818181818182
635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.0,2179.0,154.0,7.0,16.0,11.25,7,0.00043243243243243243
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.0,1498.0,98.0,7.0,15.0,10.79,7,0.0004651307017271853
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.0,1197.0,81.0,5.0,7.0,5.7,7,0.001
654,Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.0,998.0,67.0,5.0,4.0,2.75,13,6.215330111720559e-05
657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.0,7.0,15.0,9.25,7,0.0008333333333333334
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.0,1248.0,88.0,5.0,12.0,11.31,7,0.0006626905235255136
671,Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.0,1498.0,99.0,5.0,11.0,5.43,11,0.00029570687384069465
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.0,2393.0,147.0,7.0,26.0,18.75,7,0.0004012469520664218
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.0,5.0,10.0,8.5,7,0.0007692307692307692
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.0,5.0,7.0,4.9,7,0.0005
732,Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.0,1497.0,117.0,5.0,11.0,5.7,10,0.00019706904582751083
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.0,1248.0,88.0,7.0,10.0,7.75,7,0.00015639906786155553
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.0,998.0,67.0,5.0,5.0,3.2,10,0.00014198898165502358
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.0,1496.0,113.0,5.0,42.0,23.5,10,0.0007
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.0,5.0,16.0,10.65,9,0.0008441044579266684
756,Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.0,1199.0,88.0,5.0,9.0,8.46,6,0.000449460647223332
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.0,1498.0,99.0,5.0,7.0,2.5,9,9.71749843825918e-05
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.0,1591.0,121.0,5.0,13.0,10.9,8,0.000619047619047619
791,Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.0,998.0,67.0,5.0,5.0,4.32,9,6.887147205884378e-05
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,21.0,17.63,5,0.0010684847868118448
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.0,2143.0,201.0,5.0,78.0,56.0,8,0.0037142857142857142
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.0,1498.0,98.0,5.0,10.0,8.5,6,0.0008333333333333334
813,Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.0,998.0,67.0,5.0,4.0,2.3,10,8.163265306122449e-05
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.0,1498.0,108.0,5.0,10.0,6.45,7,0.000196078431372549
838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.0,2179.0,118.0,7.0,11.0,7.5,8,5.116279069767442e-05
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.0,2393.0,147.0,7.0,25.0,18.6,7,0.0005787037037037037
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.0,1186.0,73.0,5.0,8.0,5.9,6,0.00031618053908781914
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,27.0,19.92,6,0.0006469235192639448
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.0,999.0,67.0,5.0,4.0,3.25,7,6.322911068255825e-05
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.0,998.0,67.0,5.0,6.0,5.0,7,0.0008
884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.0,5.0,7.0,2.7,13,0.00014993467132178124
897,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.0,799.0,53.0,5.0,4.0,2.66,8,0.00019524576560745838
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.0,1196.0,73.0,7.0,4.0,3.61,12,7.05952948236e-05
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.0,5.0,15.0,8.65,9,0.0005
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.0,1956.0,170.0,5.0,24.0,20.0,7,0.00046153846153846153
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.0,1999.0,177.0,5.0,75.0,59.72,6,0.002386482960511662
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.0,1248.0,74.0,5.0,9.0,6.5,8,0.0003103448275862069
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.0,2477.0,175.0,7.0,34.0,12.49,11,0.00025757575757575756
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.0,2393.0,147.0,7.0,26.0,18.39,6,0.0002824367776136265
954,Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.0,1498.0,98.0,5.0,11.0,6.21,8,0.00028947368421052634
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,52.0,39.5,6,0.00598940336328035
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,70.0,17.5,12,0.0011430437622468974
1001,Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.0,799.0,53.0,5.0,4.0,4.45,6,0.002105263157894737
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498.0,98.0,5.0,12.0,11.65,5,0.0005182689816014512
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.0,2393.0,147.0,7.0,19.0,16.5,7,0.00028152736001422454
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.0,1498.0,108.0,5.0,12.0,5.39,10,0.00021179709837975219
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.0,2755.0,174.0,7.0,36.0,13.28,11,0.00034262220191868436
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368.0,160.0,5.0,23.0,17.75,7,0.00575
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.0,1968.0,187.0,5.0,55.0,25.0,9,0.0012222222222222222
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.0,1497.0,121.0,5.0,14.0,12.41,6,0.0007614903453902638
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.0,1248.0,88.0,5.0,13.0,7.94,8,0.00017423704279529828
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,28.0,20.5,8,0.00025925925925925926
1072,Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.0,1248.0,88.0,7.0,11.0,7.0,8,8.461538461538461e-05
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.0,1248.0,88.0,5.0,11.0,10.49,5,0.00031711254612546124
1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.0,1193.0,88.0,5.0,8.0,3.95,10,0.0002
1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,9.0,6.5,7,0.00025714285714285715
1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0,1497.0,115.0,5.0,12.0,7.25,12,0.00012371134020618558
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0,1582.0,126.0,5.0,15.0,6.01,10,0.00016738456044814427
1103,Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.0,2179.0,153.0,7.0,19.0,12.0,7,0.00034545454545454544
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.0,1199.0,84.0,5.0,6.0,5.88,6,0.0006272869837950862
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.0,1950.0,191.0,5.0,86.0,51.35,6,0.004206201702044409
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.0,1496.0,113.0,5.0,42.0,22.0,10,0.0012352941176470588
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.0,5.0,7,0.0007082989021367017
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,26.0,19.75,8,0.00037681159420289854
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.0,1461.0,108.0,5.0,15.0,11.44,7,0.0004985044865403788
1146,Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.0,2523.0,62.0,7.0,11.0,3.5,8,0.0002719541139240506
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.0,1248.0,88.0,5.0,11.0,10.46,6,0.00017065905423855032
1149,Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.0,1199.0,88.0,5.0,7.0,5.68,8,0.00013546988697940858
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.0,1197.0,81.0,5.0,7.0,5.98,7,0.00035
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.0,4.77,6,0.00011944101604490982
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591.0,121.0,5.0,15.0,7.2,9,0.00036945812807881776
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582.0,126.0,5.0,15.0,5.9,11,0.00017241379310344826
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.0,1969.0,190.0,5.0,45.0,25.0,9,0.0008823529411764706
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,54.0,14.0,12,0.0008307692307692307
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,Diesel,Manual,First,13.0,2393.0,147.0,7.0,22.0,20.4,7,0.0009018980855163367
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,Petrol,Manual,First,18.0,999.0,75.0,5.0,6.0,5.68,5,0.006
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,Diesel,Manual,First,13.0,2477.0,175.0,7.0,33.0,12.75,11,0.0005593220338983051
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,Petrol,Automatic,First,14.0,1798.0,138.0,5.0,23.0,18.0,7,0.0010952380952380953
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,Diesel,Manual,First,21.0,1364.0,86.0,5.0,19.0,6.5,12,0.0003653846153846154
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,Diesel,Automatic,First,13.0,1999.0,177.0,5.0,52.0,40.0,6,0.052
